name,rating,category,price_wna,city,address
Kabana Ubud By K Club,5.0,Bar,300000.0,Gianyar,"Jalan Raya Cebok, Tegalalang 80561 Indonesia"
Nautilus Seafood Restaurant & Bar,5.0,Bar,300000.0,Gianyar,"Jl. Suweta No.80, Ubud, Ubud 80571 Indonesia"
MoonLite Kitchen and Bar,4.5,Asian,300000.0,Badung,"Jl. Abimanyu Jl. Dhyana Pura, Seminyak 80361 Indonesia"
The Power of Love - Samabe Cave Dining,5.0,Seafood,500000.0,Badung,"Jl. Pura Barong-Barong Sawangan, Nusa Dua, Benoa 80363 Indonesia"
Koral Restaurant,5.0,International,500000.0,Badung,"Jl. Raya Nusa Dua Selatan The Apurva Kempinski Bali, Nusa Dua, Benoa 80361 Indonesia"
Akasa Jumeirah Bali,5.0,Seafood,300000.0,Badung,"Raya Uluwatu Street, Pecatu Indonesia"
Ambar Ubud Bar,5.0,Japanese,500000.0,Gianyar,"Jalan Raya Kedewatan, Ubud 80571 Indonesia"
Copper Kitchen & Bar,4.5,Steakhouse,300000.0,Gianyar,"Jl. Bisma No.68 Ubud, Ubud 80571 Indonesia"
Gabah Indonesian Cuisine,4.5,Indonesian,300000.0,Badung,"Jl. Bakung Sari Ramayana Resort & Spa, Kuta 80361 Indonesia"
Kaukau Restaurant,5.0,Asian,300000.0,Gianyar,"Jalan Katik Lantang Arkamara Dijiwa Resort, Singakerta, Ubud 80571 Indonesia"
Bawang Merah Beachfront Restaurant,4.5,Seafood,300000.0,Badung,"Jl. Pantai Kelan No 1 Kelan Beach, Jimbaran 80361 Indonesia"
Tis Cafe,4.5,Southwestern,100000.0,Gianyar,"Jl. Raya Ceking, Tegalalang 80561 Indonesia"
Bene Italian Kitchen,4.5,Italian,300000.0,Badung,"Jl. Pantai Kuta Sheraton Bali Kuta Resort, level 2, Kuta 80361 Indonesia"
Three Monkeys Sanur,4.5,European,300000.0,Denpasar,"Jl. Danau Tamblingan, Sanur, Denpasar 80222 Indonesia"
DONBIU,5.0,International,300000.0,Badung,"Jl. Padma No. 1 Padma Resort Bali, Legian 80361 Indonesia"
DAVA Steak & Seafood Restaurant,5.0,Steakhouse,500000.0,Badung,"Jl. Karang Mas Sejahtera, Jimbaran 80364 Indonesia"
Naughty Nuri's Sanur,5.0,American,300000.0,Denpasar,"Jl. Bypass Ngurah Rai No 77, Sanur, Denpasar 80228 Indonesia"
Botanist Restaurant Ubud,5.0,American,300000.0,Gianyar,"Jalan Kelabang Moding, Banjar Bentuyung, Ubud 80571 Indonesia"
Warung Baby Monkeys,4.5,Asian,100000.0,Denpasar,"Jl. Sudamala 6, Sanur, Denpasar Indonesia"
Warung Dandelion,4.5,Asian,100000.0,Badung,"Jl. Batu Bolong No.10, Canggu 80361 Indonesia"
Sleeping Gajah Kitchen & Lounge,5.0,International,300000.0,Karangasem,"Banjar Dinas Tebola Wapa di Ume Sidemen, Sidemen, Karangasem 80864 Indonesia"
Gong Restaurant - Indonesian and Balinese Cuisine,4.5,Seafood,300000.0,Denpasar,"Jl. Tirta Akasa no. 28, Sanur, Denpasar 80227 Indonesia"
Pala Restaurant & Rooftop Bar,5.0,International,300000.0,Badung,"Jalan Raya Nusa Dua Selatan The Apurva Kempinski Bali, Nusa Dua, Benoa 80361 Indonesia"
Unique Rooftop Bar & Restaurant,4.5,Mexican,300000.0,Badung,"Jl. Karang Mas Sejahtera Rimba Resort, Jimbaran 80364 Indonesia"
Soleil,5.0,Italian,500000.0,Badung,"Jl. Raya Nusa Dua Selatan Mulia Resort, Kawasan Sawangan, Nusa Dua, Benoa 80362 Indonesia"
Bale Udang Mang Engking Kuta,4.5,Seafood,300000.0,Badung,"Jl. Nakula No. 88, Kuta 80119 Indonesia"
Asmat Restaurant Amed,5.0,European,300000.0,Karangasem,"Mathis Lodge via Lean Village, Jl Raya Amed, Bunutan, Karangasem 80852 Indonesia"
Vincent's Restaurant,4.5,European,300000.0,Karangasem,"Jalan Raya Candidasa, Candidasa, Karangasem Indonesia"
